============================================================
Mini I-JEPA Training
============================================================
Device      : cuda
Epochs      : 100
Batch size  : 32
Embed dim   : 192
Num patches : 196
============================================================
Total params     : 11,517,888
Trainable params : 6,000,768
Frozen params    : 5,517,120  (target encoder)
============================================================
Building dataloader...
Dataset size : 100,000 images
Batches/epoch: 3,125
============================================================
Starting training for 100 epochs on cuda
Trainable params: 6,000,768
      epoch 001 batch 0000/3125 loss=1.3016 lr=0.000010
      epoch 001 batch 0050/3125 loss=0.8601 lr=0.000010
      epoch 001 batch 0100/3125 loss=0.7751 lr=0.000010
      epoch 001 batch 0150/3125 loss=0.7317 lr=0.000010
      epoch 001 batch 0200/3125 loss=0.6903 lr=0.000010
      epoch 001 batch 0250/3125 loss=0.6115 lr=0.000010
      epoch 001 batch 0300/3125 loss=0.5940 lr=0.000010
      epoch 001 batch 0350/3125 loss=0.5758 lr=0.000010
      epoch 001 batch 0400/3125 loss=0.5171 lr=0.000010
      epoch 001 batch 0450/3125 loss=0.5167 lr=0.000010
      epoch 001 batch 0500/3125 loss=0.4767 lr=0.000010
      epoch 001 batch 0550/3125 loss=0.4314 lr=0.000010
      epoch 001 batch 0600/3125 loss=0.4249 lr=0.000010
      epoch 001 batch 0650/3125 loss=0.3820 lr=0.000010
      epoch 001 batch 0700/3125 loss=0.3721 lr=0.000010
      epoch 001 batch 0750/3125 loss=0.3572 lr=0.000010
      epoch 001 batch 0800/3125 loss=0.3507 lr=0.000010
      epoch 001 batch 0850/3125 loss=0.3364 lr=0.000010
      epoch 001 batch 0900/3125 loss=0.3101 lr=0.000010
      epoch 001 batch 0950/3125 loss=0.3121 lr=0.000010
      epoch 001 batch 1000/3125 loss=0.2933 lr=0.000010
      epoch 001 batch 1050/3125 loss=0.2788 lr=0.000010
      epoch 001 batch 1100/3125 loss=0.2969 lr=0.000010
      epoch 001 batch 1150/3125 loss=0.2688 lr=0.000010
      epoch 001 batch 1200/3125 loss=0.2560 lr=0.000010
      epoch 001 batch 1250/3125 loss=0.2470 lr=0.000010
      epoch 001 batch 1300/3125 loss=0.2230 lr=0.000010
      epoch 001 batch 1350/3125 loss=0.2488 lr=0.000010
      epoch 001 batch 1400/3125 loss=0.2276 lr=0.000010
      epoch 001 batch 1450/3125 loss=0.2355 lr=0.000010
      epoch 001 batch 1500/3125 loss=0.2329 lr=0.000010
      epoch 001 batch 1550/3125 loss=0.2298 lr=0.000010
      epoch 001 batch 1600/3125 loss=0.2586 lr=0.000010
      epoch 001 batch 1650/3125 loss=0.2087 lr=0.000010
      epoch 001 batch 1700/3125 loss=0.2627 lr=0.000010
      epoch 001 batch 1750/3125 loss=0.2340 lr=0.000010
      epoch 001 batch 1800/3125 loss=0.2448 lr=0.000010
      epoch 001 batch 1850/3125 loss=0.2020 lr=0.000010
      epoch 001 batch 1900/3125 loss=0.2322 lr=0.000010
      epoch 001 batch 1950/3125 loss=0.2468 lr=0.000010
      epoch 001 batch 2000/3125 loss=0.2243 lr=0.000010
      epoch 001 batch 2050/3125 loss=0.2602 lr=0.000010
      epoch 001 batch 2100/3125 loss=0.2332 lr=0.000010
      epoch 001 batch 2150/3125 loss=0.2383 lr=0.000010
      epoch 001 batch 2200/3125 loss=0.2157 lr=0.000010
      epoch 001 batch 2250/3125 loss=0.2650 lr=0.000010
      epoch 001 batch 2300/3125 loss=0.1923 lr=0.000010
      epoch 001 batch 2350/3125 loss=0.2274 lr=0.000010
      epoch 001 batch 2400/3125 loss=0.2444 lr=0.000010
      epoch 001 batch 2450/3125 loss=0.2123 lr=0.000010
      epoch 001 batch 2500/3125 loss=0.2463 lr=0.000010
      epoch 001 batch 2550/3125 loss=0.1874 lr=0.000010
